 -0.30591018E-01  0.25157580E-01  0.97649240E-03  0.74370088E-03  0.35458539E-03  0.15731943E-03  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03 -0.25930442E-01  0.21129771E-01  0.74370088E-03  0.35458539E-03  0.15731943E-03  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03 -0.21583265E-01  0.16743458E-01  0.35458539E-03  0.15731943E-03  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03 -0.17864543E-01  0.12402829E-01  0.15731943E-03  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03 -0.15595415E-01  0.95473197E-02  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03  0.35458539E-03 -0.64026807E-02  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03  0.35458539E-03  0.95473197E-02 -0.15595415E-01  0.74370088E-03  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03  0.35458539E-03  0.15731943E-03  0.12402829E-01 -0.17864543E-01  0.97649240E-03  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03  0.35458539E-03  0.15731943E-03  0.35458539E-03  0.16743458E-01 -0.21583265E-01  0.78283607E-03  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03  0.35458539E-03  0.15731943E-03  0.35458539E-03  0.74370088E-03  0.21129771E-01 -0.25930442E-01  0.34372560E-03
  0.34372560E-03  0.78283607E-03  0.97649240E-03  0.74370088E-03  0.35458539E-03  0.15731943E-03  0.35458539E-03  0.74370088E-03  0.97649240E-03  0.25157580E-01 -0.30591018E-01
