 -0.38683232E-01  0.33542459E-01  0.65898032E-03  0.61249042E-03  0.43437465E-03  0.30985553E-03  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03 -0.32722938E-01  0.27408740E-01  0.61249042E-03  0.43437465E-03  0.30985553E-03  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03 -0.26478738E-01  0.21190208E-01  0.43437465E-03  0.30985553E-03  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03 -0.20456883E-01  0.14943748E-01  0.30985553E-03  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03 -0.15515626E-01  0.96998558E-02  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03  0.43437465E-03 -0.62501446E-02  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03  0.43437465E-03  0.96998558E-02 -0.15515626E-01  0.61249042E-03  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03  0.43437465E-03  0.30985553E-03  0.14943748E-01 -0.20456883E-01  0.65898032E-03  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03  0.43437465E-03  0.30985553E-03  0.43437465E-03  0.21190208E-01 -0.26478738E-01  0.58682099E-03  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03  0.43437465E-03  0.30985553E-03  0.43437465E-03  0.61249042E-03  0.27408740E-01 -0.32722938E-01  0.83240591E-03
  0.83240591E-03  0.58682099E-03  0.65898032E-03  0.61249042E-03  0.43437465E-03  0.30985553E-03  0.43437465E-03  0.61249042E-03  0.65898032E-03  0.33542459E-01 -0.38683232E-01
