 -0.41729982E-01  0.35940092E-01  0.71427589E-03  0.82822621E-03  0.69264565E-03  0.54948595E-03  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03 -0.34791881E-01  0.29408931E-01  0.82822621E-03  0.69264565E-03  0.54948595E-03  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03 -0.27784146E-01  0.22766648E-01  0.69264565E-03  0.54948595E-03  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03 -0.20995316E-01  0.15956188E-01  0.54948595E-03  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03 -0.15257355E-01  0.99394862E-02  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03  0.69264565E-03 -0.60105142E-02  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03  0.69264565E-03  0.99394862E-02 -0.15257355E-01  0.82822621E-03  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03  0.69264565E-03  0.54948595E-03  0.15956188E-01 -0.20995316E-01  0.71427589E-03  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03  0.69264565E-03  0.54948595E-03  0.69264565E-03  0.22766648E-01 -0.27784146E-01  0.46277484E-03  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03  0.69264565E-03  0.54948595E-03  0.69264565E-03  0.82822621E-03  0.29408931E-01 -0.34791881E-01  0.30733449E-03
  0.30733449E-03  0.46277484E-03  0.71427589E-03  0.82822621E-03  0.69264565E-03  0.54948595E-03  0.69264565E-03  0.82822621E-03  0.71427589E-03  0.35940092E-01 -0.41729982E-01
