 -0.10583771E+01  0.58845259E-02  0.10194387E-01  0.99194379E+00  0.78381632E-02  0.51623850E-02  0.78381632E-02  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02 -0.92360269E+00  0.10194387E-01  0.11197140E-01  0.85745538E+00  0.51623850E-02  0.78381632E-02  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02 -0.98268553E+00  0.11197140E-01  0.92084807E+00  0.51623850E-02  0.78381632E-02  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01 -0.83027288E+00  0.78381632E-02  0.76676240E+00  0.78381632E-02  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01 -0.83363185E+00  0.76676240E+00  0.78381632E-02  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01  0.78381632E-02 -0.74707615E-01  0.78381632E-02  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01  0.78381632E-02  0.76676240E+00 -0.83363185E+00  0.11197140E-01  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01  0.78381632E-02  0.76676240E+00  0.78381632E-02 -0.83027288E+00  0.10194387E-01  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01  0.78381632E-02  0.51623850E-02  0.92084807E+00  0.11197140E-01 -0.98268553E+00  0.58845259E-02  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01  0.78381632E-02  0.51623850E-02  0.85745538E+00  0.11197140E-01  0.10194387E-01 -0.92360269E+00  0.22395912E-02
  0.22395912E-02  0.58845259E-02  0.10194387E-01  0.11197140E-01  0.78381632E-02  0.51623850E-02  0.78381632E-02  0.99194379E+00  0.10194387E-01  0.58845259E-02 -0.10583771E+01
